 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
789,160,0,309.855,473.744,0,4.834,0.996,1.295,1.805,2.702,0.108
791,161,0,236.717,474.64,0,6.367,1.065,1.446,2.109,3.294,0.145
795,162,0,266.341,474.349,0,6.639,1.06,1.444,2.12,3.34,0.122
799,163,0,361.666,475.703,0,5.08,0.972,1.251,1.724,2.55,0.098
803,164,0,53.805,480.768,0,3.923,1.018,1.358,1.948,3.002,0.006
805,165,0,212.624,480.754,0,4.391,0.924,1.151,1.525,2.163,0.007
807,166,0,19.344,482.291,0,6.591,1.031,1.377,1.975,3.039,0.117
810,167,0,271.306,482.285,0,5.344,0.978,1.268,1.764,2.636,0.05
815,168,0,51.639,483.362,0,2.931,0.919,1.121,1.436,1.94,0.004
824,169,0,456.653,483.604,0,6.781,1.13,1.59,2.402,3.877,0.078
830,170,0,278.27,486.684,0,4.894,1.003,1.305,1.816,2.705,0.114
833,171,0,59.737,489.812,0,4.894,1.007,1.342,1.933,2.998,0.101
838,172,0,107.254,489.402,0,4.762,0.968,1.245,1.713,2.528,0.087
840,173,0,312.379,490.374,0,6.882,1.117,1.572,2.382,3.863,0.071
843,174,0,325.695,490.696,0,5.32,1.006,1.325,1.874,2.844,0.055
849,175,0,195.3,491.348,0,5.024,0.981,1.265,1.749,2.597,0.108
852,176,0,49.788,494.306,0,4.749,0.949,1.206,1.64,2.396,0.072
855,177,0,407.178,494.279,0,4.521,0.973,1.247,1.709,2.509,0.021
857,178,0,192.634,497.705,0,6.468,1.105,1.545,2.326,3.748,0.108
866,179,0,269.633,497.672,0,6.739,1.098,1.529,2.291,3.674,0.099
870,180,0,448.255,499.192,0,5.662,1.028,1.374,1.975,3.051,0.043
878,181,0,16.653,506.647,0,6.578,1.112,1.544,2.3,3.662,0.114
7,2,1,297.24,17.634,0,6.349,1.058,1.434,2.089,3.263,0.095
10,3,1,398.372,16.262,0,3.574,0.957,1.197,1.587,2.236,0.013
33,11,1,443.38,34.901,0,5.739,1.043,1.411,2.06,3.23,0.04
36,12,1,196.747,37.712,0,4.952,0.963,1.239,1.713,2.55,0.053
84,21,1,111.528,87.86,0,5.194,1.008,1.327,1.875,2.844,0.065
93,24,1,92.701,97.499,0,6.47,1.069,1.459,2.139,3.358,0.123
108,27,1,236.282,100.326,0,7.061,1.135,1.602,2.432,3.944,0.029
110,28,1,307.847,101.743,0,4.235,0.933,1.177,1.585,2.289,0.026
112,29,1,83.065,103.377,0,4.604,0.967,1.245,1.718,2.548,0.058
120,31,1,326.787,100.244,0,6.658,1.104,1.535,2.294,3.667,0.098
123,32,1,29.182,116.538,0,5.839,1.024,1.377,1.994,3.106,0.056
125,33,1,254.427,113.314,0,6.998,1.12,1.57,2.366,3.812,0.048
151,38,1,252.355,146.551,0,6.923,1.117,1.561,2.345,3.766,0.069
155,39,1,420.285,145.317,0,4.933,0.978,1.263,1.744,2.583,0.055
157,40,1,45.54,146.891,0,6.142,1.029,1.381,1.996,3.099,0.076
188,46,1,472.659,162.432,0,5.956,1.034,1.376,1.965,3.006,0.074
252,58,1,344.628,178.755,0,6.444,1.101,1.529,2.281,3.641,0.091
256,60,1,136.46,188.14,0,6.508,1.106,1.545,2.324,3.738,0.092
287,65,1,120.725,200.802,0,5.554,1.023,1.364,1.956,3.014,0.042
300,67,1,100.061,201.476,0,3.864,0.962,1.23,1.68,2.461,0.035
302,68,1,424.455,200.637,0,5.819,1.008,1.324,1.863,2.811,0.05
321,72,1,34.838,214.55,0,5.978,1.059,1.434,2.089,3.264,0.071
348,76,1,209.509,228.48,0,5.262,0.972,1.252,1.732,2.576,0.06
352,77,1,57.46,239.263,0,4.909,0.985,1.29,1.818,2.759,0.052
366,78,1,449.834,231.653,0,6.082,1.077,1.474,2.169,3.42,0.062
373,81,1,56.358,250.698,0,5.365,0.987,1.273,1.754,2.588,0.052
393,85,1,453.712,261.619,0,4.564,0.987,1.291,1.819,2.76,0.058
404,89,1,434.332,268.317,0,4.64,0.975,1.258,1.739,2.581,0.061
433,94,1,21.782,289.549,0,4.328,0.951,1.216,1.669,2.464,0.035
440,95,1,54.348,292.618,0,6.386,1.04,1.402,2.034,3.163,0.105
444,96,1,45.702,296.801,0,4.22,0.951,1.185,1.562,2.188,0.025
471,103,1,209.24,323.539,0,5.31,1.061,1.448,2.127,3.351,0.047
491,107,1,29.334,329.329,0,6.705,1.122,1.577,2.382,3.846,0.086
494,108,1,28.459,335.506,0,6.223,1.021,1.356,1.937,2.97,0.07
497,109,1,399.742,337.318,0,6.538,1.087,1.506,2.246,3.588,0.111
500,110,1,221.195,337.937,0,4.468,0.997,1.337,1.936,3.02,0.036
545,117,1,52.47,361.081,0,4.583,1.02,1.354,1.934,2.968,0.051
555,119,1,265.468,367.388,0,6.886,1.063,1.442,2.102,3.285,0.064
566,121,1,379.155,356.408,0,4.296,0.97,1.252,1.731,2.572,0.033
568,122,1,213.585,374.256,0,6.763,1.105,1.546,2.33,3.757,0.097
606,127,1,489.633,372.386,0,6.718,1.038,1.398,2.027,3.153,0.065
624,131,1,488.598,390.081,0,4.58,0.993,1.301,1.831,2.77,0.059
651,134,1,233.374,383.384,0,6.959,1.059,1.443,2.118,3.336,0.044
664,137,1,58.316,404.662,0,6.337,1.047,1.393,1.982,3.014,0.091
677,139,1,177.523,405.487,0,6.964,1.128,1.565,2.321,3.67,0.058
679,140,1,485.174,411.165,0,5.591,1.066,1.455,2.138,3.37,0.033
686,141,1,155.26,403.4,0,5.574,0.992,1.307,1.855,2.834,0.04
713,144,1,170.297,417.817,0,5.021,0.995,1.314,1.871,2.87,0.056
731,147,1,437.177,418.108,0,3.758,0.999,1.302,1.813,2.701,0.023
734,148,1,389.375,425.436,0,6.751,1.128,1.588,2.399,3.871,0.084
766,155,1,204.532,467.118,0,4.213,0.972,1.265,1.77,2.667,0.025
796,162,1,271.583,472.197,0,5.346,0.974,1.26,1.748,2.607,0.053
806,165,1,207.664,477.696,0,5.273,0.998,1.303,1.822,2.734,0.067
811,167,1,270.532,481.638,0,6.725,1.062,1.437,2.087,3.244,0.083
825,169,1,451.069,483.534,0,5.895,1.043,1.411,2.055,3.211,0.063
831,170,1,281.323,494.639,0,5.422,0.971,1.255,1.743,2.607,0.041
834,171,1,65.897,491.21,0,4.67,1.008,1.344,1.934,2.996,0.052
841,173,1,310.726,489.823,0,4.617,0.993,1.297,1.822,2.751,0.062
853,176,1,46.405,498.613,0,5.225,0.994,1.296,1.812,2.72,0.067
883,182,1,312.556,1.804,0,5.13,0.965,1.216,1.628,2.321,0.05
885,183,1,134.321,8.213,0,5.171,0.99,1.282,1.775,2.634,0.064
887,184,1,79.669,17.533,0,6.534,1.069,1.463,2.155,3.403,0.12
889,185,1,14.443,19.569,0,6.031,1.004,1.314,1.843,2.776,0.061
891,186,1,424.521,29.46,0,6.85,1.098,1.513,2.236,3.533,0.09
893,187,1,221.681,38.657,0,6.467,1.042,1.391,1.99,3.048,0.113
