 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
8592,2183,46,212.887,431.284,0,4.873,1.007,1.327,1.877,2.852,0.05
8604,2184,46,56.647,442.539,0,6.635,1.065,1.45,2.123,3.333,0.101
8606,2185,46,294.486,445.139,0,5.892,1.025,1.356,1.92,2.913,0.063
8610,2186,46,83.604,448.412,0,6.71,1.055,1.427,2.072,3.224,0.08
8612,2187,46,431.424,452.916,0,3.826,0.947,1.191,1.596,2.29,0.036
8620,2188,46,219.488,456.31,0,5.576,0.984,1.28,1.789,2.687,0.061
8623,2189,46,393.455,466.657,0,7.211,1.088,1.497,2.215,3.508,0.016
8625,2190,46,285.435,474.123,0,4.837,0.961,1.224,1.664,2.426,0.053
8627,2191,46,131.357,476.1,0,5.178,1.001,1.313,1.849,2.797,0.054
3583,848,47,325.665,217.4,0,6.527,1.065,1.449,2.119,3.318,0.12
5569,1367,47,120.243,499.715,0,5.187,0.984,1.288,1.818,2.762,0.057
5897,1456,47,437.807,110.104,0,4.689,1.008,1.35,1.95,3.032,0.047
5953,1468,47,47.463,211.633,0,4.128,0.926,1.136,1.469,2.016,0.02
6022,1485,47,207.081,466.289,0,5.153,1.006,1.331,1.894,2.897,0.053
6071,1498,47,239.514,152.829,0,4.878,0.957,1.201,1.602,2.279,0.059
6253,1548,47,15.672,167.286,0,6.797,1.112,1.558,2.347,3.781,0.086
6432,1600,47,41.706,253.767,0,6.024,1.05,1.415,2.049,3.176,0.06
6478,1612,47,89.641,379.709,0,6.285,1.037,1.381,1.971,3.015,0.097
6603,1644,47,412.281,240.401,0,5.884,1.026,1.376,1.988,3.09,0.047
6638,1652,47,140.11,302.316,0,5.502,1.024,1.36,1.938,2.963,0.06
6850,1706,47,356.281,447.417,0,6.457,1.034,1.394,2.022,3.152,0.106
6881,1713,47,454.892,500.165,0,4.927,1.031,1.396,2.039,3.199,0.047
7073,1768,47,127.65,195.31,0,5.299,0.959,1.219,1.654,2.403,0.041
7095,1772,47,71.396,248.649,0,4.23,0.953,1.191,1.579,2.228,0.022
7199,1799,47,103.252,488.5,0,7.044,1.142,1.612,2.443,3.953,0.029
7242,1806,47,185.519,130.7,0,6.847,1.102,1.529,2.281,3.64,0.084
7269,1811,47,343.293,193.651,0,6.866,1.099,1.53,2.295,3.683,0.08
7326,1827,47,465.229,369.465,0,6.604,1.111,1.559,2.354,3.804,0.095
7382,1840,47,116.792,507.26,0,4.864,0.989,1.296,1.821,2.75,0.078
7400,1844,47,349.866,41.663,0,5.678,1.04,1.409,2.058,3.229,0.036
7455,1856,47,310.839,202.652,0,6.447,1.099,1.526,2.283,3.655,0.1
7467,1858,47,473.417,203.694,0,6.438,1.04,1.39,1.993,3.064,0.104
7503,1869,47,143.667,282.594,0,6.947,1.089,1.502,2.227,3.535,0.056
7529,1877,47,475.566,440.534,0,5.115,0.953,1.192,1.582,2.235,0.042
7554,1882,47,288.625,459.664,0,6.463,1.017,1.332,1.865,2.792,0.075
7574,1888,47,358.364,26.804,0,6.205,1.046,1.411,2.046,3.184,0.095
7590,1893,47,250.224,117.344,0,5.096,0.999,1.305,1.833,2.768,0.058
7617,1901,47,267.357,206.751,0,6.238,1.033,1.375,1.964,3.005,0.096
7685,1921,47,50.307,469.639,0,4.764,0.976,1.255,1.726,2.545,0.067
7842,1966,47,269.474,26.723,0,5.785,1,1.313,1.85,2.801,0.036
7847,1967,47,308.833,64.199,0,4.73,1.005,1.339,1.926,2.984,0.059
7852,1968,47,85.776,54.171,0,4.972,0.982,1.266,1.745,2.575,0.07
7861,1971,47,352,111.504,0,3.46,0.964,1.244,1.721,2.559,0.009
7870,1974,47,483.205,131.223,0,4.706,0.968,1.252,1.741,2.605,0.058
7881,1978,47,183.909,174.219,0,4.822,1.031,1.392,2.028,3.175,0.054
7885,1979,47,405.698,176.712,0,6.445,1.083,1.493,2.216,3.525,0.111
7896,1981,47,303.621,219.248,0,4.418,0.956,1.227,1.689,2.501,0.027
7910,1986,47,245.7,283.512,0,6.375,1.027,1.381,2,3.113,0.096
7917,1988,47,135.351,327.541,0,6.79,1.088,1.499,2.219,3.515,0.092
7922,1989,47,310.327,313.204,0,5.927,1.089,1.512,2.26,3.617,0.052
7931,1991,47,389.74,356.538,0,4.48,0.947,1.194,1.61,2.331,0.029
7937,1993,47,422.439,352.743,0,6.187,1.026,1.37,1.965,3.028,0.087
7974,2003,47,425.131,96.502,0,5.959,1.062,1.442,2.104,3.289,0.059
8000,2012,47,459.548,186.341,0,5.953,1.14,1.626,2.496,4.091,0.028
8005,2013,47,26.647,183.566,0,6.82,1.06,1.444,2.118,3.33,0.069
8057,2030,47,360.627,397.82,0,6.639,1.088,1.503,2.232,3.55,0.115
8072,2032,47,325.19,462.619,0,6.297,1.063,1.441,2.098,3.27,0.098
8089,2037,47,272.708,40.34,0,6.723,1.09,1.504,2.231,3.543,0.106
8093,2038,47,341.654,50.653,0,6.535,1.019,1.349,1.914,2.914,0.078
8100,2040,47,142.561,109.43,0,6.071,1.094,1.513,2.248,3.572,0.056
8107,2043,47,267.44,132.39,0,6.918,1.133,1.595,2.415,3.905,0.06
8113,2045,47,292.805,151.204,0,4.674,0.98,1.258,1.723,2.529,0.052
8125,2048,47,401.857,152.408,0,6.028,1.063,1.444,2.107,3.294,0.063
8147,2055,47,195.531,244.334,0,6.794,1.087,1.491,2.198,3.469,0.09
8172,2063,47,448.754,307.737,0,4.739,0.971,1.244,1.703,2.496,0.062
8197,2065,47,278.808,328.731,0,5.639,1.044,1.401,2.019,3.119,0.038
8211,2069,47,131.684,375.649,0,6.671,1.091,1.507,2.239,3.564,0.113
8216,2071,47,185.813,418.743,0,6.706,1.105,1.544,2.324,3.743,0.101
8224,2074,47,325.561,439.744,0,6.696,1.121,1.567,2.354,3.774,0.091
8241,2081,47,276.246,487.277,0,5.337,1.002,1.311,1.837,2.758,0.062
8273,2092,47,55.089,237.515,0,3.986,0.979,1.265,1.754,2.614,0.026
8286,2094,47,396.984,236.152,0,3.795,1.021,1.385,2.027,3.188,0.012
8298,2098,47,461.337,320.119,0,5.212,1.007,1.32,1.853,2.785,0.056
8301,2099,47,270.403,315.492,0,6.676,1.073,1.463,2.141,3.356,0.108
8311,2102,47,147.11,326.434,0,6.17,1.043,1.417,2.076,3.268,0.087
8341,2110,47,356.428,421.693,0,6.635,1.096,1.527,2.291,3.682,0.11
8361,2117,47,49.765,11.682,0,4.927,0.999,1.294,1.792,2.656,0.075
8363,2118,47,302.516,39.234,0,6.899,1.134,1.596,2.413,3.895,0.063
8369,2119,47,364.219,39.241,0,5.923,1.098,1.529,2.291,3.677,0.048
8371,2120,47,163.701,50.306,0,6.631,1.074,1.471,2.164,3.408,0.116
8375,2121,47,238.351,82.587,0,5.972,1,1.303,1.817,2.717,0.035
8377,2122,47,294.709,88.088,0,4.479,0.977,1.274,1.787,2.698,0.03
8379,2123,47,212.782,114.224,0,4.973,1.005,1.325,1.877,2.857,0.066
8382,2124,47,274.751,118.377,0,3.865,0.947,1.219,1.691,2.533,0.021
8388,2125,47,267.763,185.215,0,6.505,1.123,1.59,2.426,3.958,0.072
8398,2127,47,239.618,203.819,0,6.429,1.097,1.522,2.271,3.627,0.098
8404,2128,47,494.549,227.519,0,3.911,0.937,1.175,1.569,2.242,0.02
8408,2129,47,242.565,219.322,0,6.193,1.019,1.351,1.927,2.949,0.083
8410,2130,47,211.468,248.443,0,6.215,1.011,1.337,1.901,2.901,0.082
8412,2131,47,262.319,314.336,0,6.418,1.079,1.471,2.154,3.374,0.111
8417,2132,47,341.784,324.434,0,4.885,0.977,1.279,1.802,2.737,0.077
8419,2133,47,362.748,344.155,0,5.32,1.007,1.324,1.868,2.83,0.062
8422,2134,47,217.302,341.776,0,5.169,0.976,1.255,1.726,2.544,0.055
8426,2135,47,2.624,351.91,0,4.824,1.012,1.339,1.904,2.907,0.07
8429,2136,47,257.148,352.415,0,4.635,0.96,1.23,1.689,2.49,0.043
8435,2137,47,67.858,355.146,0,5.428,1.064,1.45,2.123,3.333,0.05
8438,2138,47,375.801,367.836,0,6.34,1.126,1.589,2.412,3.914,0.051
8440,2139,47,206.573,367.388,0,6.39,1.056,1.445,2.132,3.379,0.108
8450,2141,47,57.752,403.305,0,6.554,1.051,1.421,2.066,3.22,0.112
8452,2142,47,159.261,433.221,0,4.946,0.989,1.293,1.816,2.742,0.074
8456,2143,47,304.648,459.659,0,6.713,1.096,1.5,2.2,3.444,0.107
8458,2144,47,259.613,467.142,0,4.398,0.992,1.278,1.755,2.575,0.024
8461,2145,47,435.688,464.224,0,4.715,0.943,1.203,1.647,2.428,0.049
8463,2146,47,327.702,509.89,0,5.699,1.077,1.523,2.336,3.853,0.021
8468,2148,47,461.335,509.774,0,3.956,0.995,1.323,1.899,2.942,0.021
8470,2149,47,95.61,500.543,0,6.553,1.051,1.42,2.064,3.219,0.111
8508,2161,47,456.505,186.322,0,6.029,1.125,1.608,2.481,4.098,0.033
8519,2165,47,141.663,206.347,0,6.216,1.051,1.417,2.055,3.193,0.096
8533,2167,47,255.11,235.768,0,4.13,0.965,1.243,1.713,2.535,0.026
8562,2173,47,171.865,300.696,0,5.736,1.04,1.403,2.036,3.175,0.038
8564,2174,47,334.426,306.194,0,6.383,1.148,1.643,2.53,4.162,0.037
8566,2175,47,256.398,329.277,0,5.429,0.98,1.256,1.721,2.526,0.049
8590,2182,47,470.881,424.496,0,4.016,0.968,1.235,1.686,2.467,0.027
8631,2192,47,116.256,10.125,0,4.973,0.979,1.27,1.765,2.636,0.071
8633,2193,47,184.79,66.622,0,6.657,1.093,1.513,2.253,3.591,0.113
8635,2194,47,263.435,67.853,0,5.493,0.995,1.284,1.769,2.602,0.05
8644,2195,47,345.235,81.227,0,6.905,1.137,1.612,2.46,4.011,0.057
8655,2196,47,119.288,96.115,0,5.087,0.979,1.264,1.748,2.591,0.059
8657,2197,47,296.525,128.641,0,6.501,1.084,1.492,2.209,3.502,0.117
8659,2198,47,307.867,131.269,0,5.964,1.09,1.513,2.263,3.624,0.056
8663,2199,47,31.289,142.701,0,5.07,0.979,1.254,1.716,2.515,0.059
8669,2200,47,359.676,149.278,0,6.198,1.01,1.345,1.935,2.997,0.082
8671,2201,47,184.703,161.454,0,4.211,0.947,1.197,1.618,2.35,0.024
8674,2202,47,39.422,180.405,0,6.227,1.015,1.351,1.938,2.987,0.088
8676,2203,47,378.593,188.127,0,4.155,1,1.309,1.839,2.775,0.02
8681,2204,47,439.44,198.561,0,6.659,1.036,1.387,1.995,3.075,0.076
8685,2205,47,210.645,200.182,0,5.987,1.082,1.487,2.198,3.478,0.06
8687,2206,47,80.347,211.715,0,6.445,1.077,1.476,2.174,3.43,0.115
8689,2207,47,157.603,251.762,0,6.49,1.03,1.38,1.991,3.086,0.1
8691,2208,47,245.242,256.76,0,6.205,1.063,1.446,2.116,3.321,0.09
8699,2209,47,14.516,261.641,0,6.392,1.052,1.407,2.019,3.103,0.105
8705,2210,47,377.759,265.565,0,6.697,1.108,1.541,2.303,3.679,0.103
8707,2211,47,90.096,267.566,0,3.769,0.981,1.274,1.774,2.653,0.014
8709,2212,47,240.886,272.161,0,3.371,0.986,1.273,1.752,2.575,0.009
8712,2213,47,451.786,299.273,0,5.344,0.997,1.314,1.866,2.851,0.063
8715,2214,47,51.626,302.501,0,6.274,1.041,1.402,2.032,3.163,0.1
8722,2215,47,175.851,308.257,0,5.478,1.036,1.396,2.026,3.161,0.061
8725,2216,47,401.638,315.168,0,6.197,1.066,1.455,2.132,3.347,0.086
8730,2217,47,19.56,343.521,0,5.988,0.993,1.296,1.811,2.714,0.033
8732,2218,47,417.361,348.362,0,7.01,1.089,1.506,2.243,3.577,0.038
8738,2219,47,330.853,367.329,0,5.837,1.061,1.446,2.125,3.349,0.043
8743,2220,47,182.864,371.359,0,6.377,1.082,1.494,2.224,3.548,0.097
8745,2221,47,217.273,396.376,0,5.521,0.986,1.285,1.798,2.706,0.045
8747,2222,47,137.538,418.465,0,7.079,1.143,1.627,2.491,4.072,0.021
8751,2223,47,389.415,426.576,0,6.278,1.101,1.55,2.357,3.843,0.056
8754,2224,47,70.591,439.233,0,6.501,1.065,1.461,2.159,3.424,0.121
8756,2225,47,276.261,449.322,0,5.485,1.012,1.353,1.955,3.044,0.062
8758,2226,47,446.844,457.184,0,3.103,0.989,1.286,1.79,2.673,0.011
8762,2227,47,205.519,472.333,0,5.855,1.016,1.35,1.932,2.973,0.043
8765,2228,47,116.511,482.398,0,5.762,0.992,1.291,1.803,2.705,0.032
8767,2229,47,374.628,508.217,0,4.792,0.999,1.31,1.844,2.79,0.073
5384,1318,48,2.303,454.562,0,4.782,0.978,1.279,1.804,2.744,0.062
6304,1562,48,432.403,340.267,0,6.115,1.036,1.391,2.01,3.12,0.099
6604,1644,48,412.641,232.604,0,4.521,0.999,1.294,1.789,2.645,0.043
6768,1689,48,69.553,231.099,0,3.904,0.951,1.208,1.642,2.395,0.012
6826,1703,48,82.754,361.221,0,5.855,1.058,1.427,2.064,3.197,0.065
6841,1705,48,342.704,438.695,0,6.218,1.062,1.453,2.142,3.389,0.106
7028,1761,48,292.622,72.098,0,4.349,0.981,1.29,1.829,2.795,0.019
7049,1766,48,254.719,147.419,0,5.159,0.983,1.277,1.781,2.669,0.039
7226,1804,48,264.916,111.855,0,4.228,1.007,1.327,1.869,2.816,0.014
7341,1830,48,212.515,357.186,0,5.448,0.976,1.241,1.679,2.423,0.033
7383,1840,48,111.358,504.257,0,6.345,1.069,1.457,2.134,3.35,0.096
7436,1853,48,396.372,189.468,0,5.928,1.035,1.383,1.984,3.049,0.077
7456,1856,48,310.829,211.294,0,5.864,1.065,1.443,2.098,3.264,0.062
7481,1862,48,458.806,222.683,0,6.291,1.079,1.479,2.18,3.44,0.095
7548,1881,48,447.201,475.397,0,4.668,0.966,1.235,1.685,2.462,0.06
7555,1882,48,288.752,460.815,0,6.638,1.152,1.643,2.523,4.136,0.057
7575,1888,48,359.574,28.79,0,5.67,0.998,1.31,1.848,2.805,0.046
7591,1893,48,250.136,122.281,0,5.255,1.003,1.317,1.856,2.807,0.036
7627,1903,48,317.308,227.677,0,4.706,0.978,1.25,1.702,2.48,0.062
7706,1929,48,324.073,68.631,0,4.914,0.976,1.26,1.74,2.578,0.066
7717,1930,48,198.775,106.878,0,5.118,1.04,1.409,2.056,3.223,0.035
7733,1935,48,362.409,133.478,0,6.295,1.021,1.352,1.921,2.926,0.084
7739,1936,48,156.714,116.559,0,6.802,1.117,1.561,2.345,3.763,0.071
7747,1938,48,471.834,146.093,0,4.653,1.042,1.416,2.07,3.247,0.031
7752,1939,48,340.34,142.631,0,6.548,1.061,1.446,2.12,3.335,0.107
7762,1942,48,224.756,207.278,0,6.255,1.089,1.513,2.267,3.642,0.08
7796,1954,48,359.812,367.251,0,6.373,1.139,1.61,2.443,3.958,0.033
7808,1957,48,64.76,417.68,0,6.631,1.066,1.452,2.124,3.33,0.116
7820,1959,48,194.756,455.817,0,5.017,1.024,1.364,1.955,3.009,0.049
7959,1998,48,7.977,458.444,0,3.278,0.97,1.254,1.736,2.582,0.006
7980,2005,48,428.695,123.212,0,4.929,0.987,1.281,1.784,2.669,0.066
8027,2021,48,321.74,295.769,0,6.847,1.145,1.622,2.469,4.011,0.043
8032,2022,48,325.755,309.254,0,5.855,1.028,1.372,1.968,3.029,0.07
8046,2027,48,16.16,360.442,0,4.599,0.979,1.261,1.74,2.574,0.058
8068,2031,48,124.54,413.908,0,5.687,1.041,1.409,2.052,3.207,0.051
8076,2033,48,257.235,451.276,0,5.034,0.968,1.256,1.753,2.636,0.053
8090,2037,48,273.718,42.332,0,5.095,1.008,1.309,1.812,2.679,0.049
8120,2046,48,170.067,167.736,0,4.038,0.999,1.327,1.901,2.936,0.021
8130,2049,48,452.394,170.66,0,6.696,1.04,1.382,1.964,2.984,0.071
8148,2055,48,196.481,254.21,0,5.673,1.018,1.361,1.962,3.041,0.052
8166,2061,48,141.65,312.744,0,6.645,1.104,1.543,2.323,3.743,0.112
8173,2063,48,443.724,312.88,0,5.221,1.004,1.328,1.891,2.896,0.037
8191,2064,48,246.668,318.4,0,6.762,1.053,1.426,2.075,3.237,0.076
8198,2065,48,271.894,325.564,0,4.971,0.979,1.259,1.734,2.558,0.062
8238,2080,48,475.062,493.142,0,3.928,1.033,1.401,2.049,3.225,0.014
8255,2087,48,125.568,108.435,0,6.134,0.998,1.307,1.838,2.779,0.071
8258,2088,48,308.292,155.653,0,4.703,0.979,1.264,1.746,2.584,0.063
8264,2089,48,263.437,147.648,0,7.021,1.109,1.526,2.248,3.535,0.048
8267,2090,48,447.588,175.703,0,6.561,1.067,1.486,2.241,3.633,0.114
8291,2096,48,29.456,267.641,0,6.476,1.055,1.426,2.07,3.219,0.094
8294,2097,48,128.844,313.72,0,5.475,1.028,1.373,1.972,3.038,0.049
8308,2101,48,0.658,320.672,0,2.095,0.666,0.755,0.918,1.222,0.006
8319,2105,48,264.339,378.625,0,6.583,1.09,1.501,2.221,3.516,0.117
8324,2106,48,481.188,369.633,0,6.581,1.107,1.545,2.32,3.725,0.104
8331,2107,48,213.248,381.152,0,5.04,1.021,1.356,1.937,2.972,0.05
8335,2108,48,346.863,365.565,0,5.865,1.015,1.355,1.948,3.01,0.07
8346,2112,48,385.59,442.287,0,6.709,1.039,1.402,2.036,3.174,0.08
8352,2114,48,332.801,476.567,0,6.09,1.042,1.4,2.022,3.135,0.095
8355,2115,48,62.321,474.161,0,6.138,1.073,1.468,2.157,3.394,0.09
8359,2116,48,265.761,499.378,0,4.846,1.012,1.345,1.924,2.961,0.052
8389,2125,48,264.427,191.195,0,6.252,1.054,1.412,2.028,3.119,0.108
8396,2126,48,145.76,175.743,0,5.401,0.999,1.313,1.859,2.831,0.044
8413,2131,48,265.355,320.605,0,5.976,1.039,1.385,1.98,3.03,0.079
8427,2135,48,0.68,360.707,0,1.404,0.612,0.641,0.683,0.742,0.006
8444,2140,48,146.305,404.688,0,6.767,1.11,1.549,2.322,3.722,0.084
8466,2147,48,205.723,509.903,0,5.274,1.111,1.579,2.425,3.991,0.013
8471,2149,48,104.567,504.416,0,7.124,1.101,1.515,2.236,3.528,0.025
8474,2150,48,270.172,53.473,0,6.097,1.03,1.388,2.017,3.151,0.096
8478,2151,48,327.217,44.192,0,6.121,1.06,1.443,2.114,3.322,0.095
8482,2152,48,368.631,54.441,0,6.842,1.048,1.407,2.027,3.132,0.049
8484,2153,48,174.59,78.638,0,6.636,1.063,1.446,2.118,3.327,0.114
8487,2154,48,406.27,82.386,0,6.953,1.059,1.442,2.113,3.32,0.048
8489,2155,48,353.695,95.497,0,3.499,0.956,1.224,1.682,2.487,0.017
8496,2156,48,180.32,115.628,0,6.949,1.107,1.541,2.309,3.7,0.056
8498,2157,48,110.424,109.565,0,4.921,0.955,1.214,1.65,2.403,0.059
8501,2158,48,46.767,138.494,0,5.313,0.993,1.294,1.807,2.709,0.035
8503,2159,48,413.266,140.715,0,6.41,1.049,1.41,2.036,3.152,0.091
8505,2160,48,30.817,166.645,0,5.59,0.993,1.291,1.799,2.69,0.045
8510,2162,48,60.215,201.818,0,4.56,0.992,1.305,1.849,2.819,0.051
8513,2163,48,327.61,197.816,0,6.562,1.088,1.484,2.169,3.389,0.114
8515,2164,48,125.794,208.399,0,6.206,1.053,1.422,2.063,3.209,0.111
8522,2166,48,488.786,207.406,0,6.204,1.047,1.408,2.032,3.141,0.11
8534,2167,48,245.556,234.89,0,5.755,1.049,1.425,2.084,3.272,0.053
8537,2168,48,171.538,244.312,0,6.129,1.045,1.406,2.033,3.152,0.103
8539,2169,48,87.331,249.507,0,4.2,0.923,1.134,1.475,2.04,0.008
8542,2170,48,117.767,241.816,0,5.028,1.026,1.361,1.94,2.967,0.049
8553,2171,48,28.567,262.641,0,5.856,0.981,1.264,1.741,2.568,0.044
8556,2172,48,412.724,256.514,0,5.536,0.988,1.298,1.837,2.801,0.047
8568,2176,48,355.17,330.207,0,4.896,1.003,1.323,1.877,2.866,0.06
8573,2177,48,395.57,341.764,0,4.368,0.973,1.255,1.736,2.583,0.019
8577,2178,48,424.698,334.263,0,6.625,1.123,1.585,2.405,3.901,0.091
8580,2179,48,77.856,345.248,0,5.436,1.077,1.481,2.192,3.478,0.026
8585,2180,48,285.253,381.55,0,6.751,1.112,1.545,2.304,3.671,0.089
8587,2181,48,392.857,410.436,0,5.873,1.043,1.412,2.061,3.228,0.07
8593,2183,48,212.666,429.804,0,4.565,0.966,1.245,1.724,2.568,0.05
8605,2184,48,47.687,453.854,0,4.685,0.984,1.283,1.795,2.7,0.064
8607,2185,48,289.513,440.443,0,6.047,0.976,1.253,1.717,2.519,0.047
8611,2186,48,80.368,451.65,0,6.844,1.081,1.486,2.198,3.483,0.068
8613,2187,48,444.126,441.418,0,3.558,0.935,1.177,1.583,2.285,0.021
8621,2188,48,219.845,465.445,0,5.435,1.028,1.378,1.988,3.084,0.046
8624,2189,48,387.787,484.646,0,6.676,1.102,1.54,2.319,3.737,0.11
8626,2190,48,284.755,475.353,0,6.23,1.025,1.373,1.98,3.07,0.1
8628,2191,48,120.821,466.792,0,5.169,1.022,1.365,1.961,3.027,0.039
8744,2220,48,190.7,365.251,0,6.163,1.061,1.434,2.08,3.231,0.106
8771,2230,48,354.555,4.496,0,6.864,1.084,1.497,2.225,3.545,0.066
8775,2231,48,357.558,10.87,0,5.946,1.022,1.353,1.922,2.927,0.077
8777,2232,48,376.352,19.45,0,6.343,1.036,1.402,2.047,3.211,0.096
8779,2233,48,161.654,34.415,0,7.028,1.07,1.45,2.107,3.275,0.04
8782,2234,48,234.648,98.149,0,5.702,1.033,1.382,1.986,3.063,0.053
8794,2235,48,297.35,112.686,0,6.528,1.071,1.458,2.132,3.337,0.106
8806,2236,48,75.546,122.721,0,5.629,1.021,1.365,1.965,3.042,0.053
8812,2237,48,498.337,136.471,0,4.6,0.95,1.198,1.609,2.31,0.045
8814,2238,48,204.744,149.648,0,6.607,1.066,1.442,2.091,3.244,0.113
8817,2239,48,35.384,163.792,0,4.906,0.952,1.198,1.605,2.3,0.055
8819,2240,48,253.294,178.424,0,6.712,1.13,1.591,2.406,3.887,0.081
8821,2241,48,233.679,188.833,0,5.88,1.072,1.456,2.123,3.31,0.059
8824,2242,48,25.108,199.414,0,5.943,1.055,1.435,2.101,3.301,0.069
8831,2243,48,114.564,204.468,0,5.931,1,1.31,1.842,2.784,0.066
8833,2244,48,430.864,204.288,0,5.472,1.026,1.368,1.96,3.017,0.049
8835,2245,48,95.304,217.645,0,6.52,1.051,1.408,2.02,3.102,0.091
8837,2246,48,135.844,217.548,0,4.845,0.984,1.276,1.776,2.658,0.065
8843,2247,48,341.261,220.881,0,4.661,1.01,1.332,1.887,2.87,0.056
8847,2248,48,182.321,235.397,0,6.76,1.096,1.513,2.241,3.55,0.092
8849,2249,48,486.547,241.593,0,3.684,0.896,1.063,1.314,1.697,0.015
8855,2250,48,255.619,251.657,0,4.608,1.011,1.323,1.856,2.791,0.055
8857,2251,48,258.455,265.804,0,6.116,1.012,1.344,1.922,2.951,0.088
8860,2252,48,393.48,269.329,0,7.013,1.093,1.505,2.225,3.518,0.05
8862,2253,48,103.384,276.615,0,3.789,0.898,1.108,1.46,2.067,0.014
8864,2254,48,159.322,278.568,0,6.601,1.087,1.494,2.206,3.486,0.121
8868,2255,48,279.345,300.702,0,6.455,1.056,1.433,2.09,3.268,0.093
8874,2256,48,416.332,308.409,0,6.315,1.052,1.428,2.088,3.278,0.102
8881,2257,48,37.808,310.545,0,6.306,1.052,1.43,2.091,3.281,0.103
8884,2258,48,191.83,310.504,0,5.593,0.988,1.296,1.832,2.79,0.046
8888,2259,48,347.921,311.751,0,4.061,1.004,1.327,1.892,2.905,0.02
8893,2260,48,285.808,312.707,0,6.309,1.08,1.493,2.224,3.55,0.088
8895,2261,48,118.441,328.302,0,7.045,1.147,1.638,2.516,4.126,0.025
8900,2262,48,370.103,330.156,0,5.707,1.086,1.511,2.265,3.635,0.031
8902,2263,48,352.655,336.488,0,4.887,0.95,1.191,1.585,2.25,0.053
8905,2264,48,141.873,359.222,0,5.484,1.035,1.381,1.98,3.045,0.049
8909,2265,48,196.41,362.28,0,6.417,1.063,1.423,2.035,3.108,0.093
8911,2266,48,118.72,366.413,0,6.44,1.074,1.468,2.161,3.408,0.091
8913,2267,48,104.712,374.376,0,6.159,1.034,1.393,2.02,3.146,0.106
8915,2268,48,500.849,402.52,0,6.18,1.051,1.419,2.059,3.204,0.11
8918,2269,48,346.215,404.333,0,6.621,1.111,1.55,2.324,3.728,0.109
8923,2270,48,181.469,434.303,0,6.981,1.094,1.511,2.244,3.565,0.055
8926,2271,48,381.798,493.848,0,4.497,1.001,1.332,1.916,2.969,0.035
3584,848,49,323.753,220.491,0,6.552,1.037,1.38,1.968,3.003,0.081
5570,1367,49,108.173,496.834,0,4.541,0.994,1.306,1.842,2.788,0.033
5954,1468,49,60.817,217.74,0,4.901,0.968,1.248,1.725,2.566,0.059
6072,1498,49,240.723,155.795,0,5.028,0.987,1.283,1.79,2.683,0.076
6433,1600,49,32.66,252.221,0,6.525,1.107,1.543,2.31,3.699,0.087
6479,1612,49,103.159,390.3,0,5.922,1.083,1.49,2.206,3.501,0.045
6851,1706,49,358.479,435.607,0,6.643,1.054,1.429,2.087,3.27,0.106
7050,1766,49,248.273,152.3,0,6.822,1.12,1.567,2.355,3.784,0.083
7074,1768,49,126.627,192.44,0,6.335,1.037,1.389,2.002,3.097,0.071
7200,1799,49,110.437,489.435,0,6.909,1.128,1.582,2.385,3.84,0.056
7227,1804,49,265.371,118.084,0,5.226,0.997,1.312,1.857,2.828,0.082
7243,1806,49,183.532,131.458,0,7.206,1.121,1.565,2.348,3.764,0.014
7327,1827,49,476.437,385.178,0,6.613,1.118,1.57,2.374,3.838,0.094
7401,1844,49,343.804,32.18,0,5.21,1.04,1.401,2.031,3.16,0.07
7457,1856,49,310.332,218.147,0,6.39,1.09,1.509,2.248,3.584,0.075
7468,1858,49,467.661,209.408,0,6.831,1.074,1.468,2.16,3.407,0.086
7530,1877,49,460.136,443.821,0,4.262,0.99,1.284,1.777,2.627,0.029
7592,1893,49,251.388,120.265,0,4.652,0.98,1.261,1.734,2.555,0.05
7618,1901,49,267.665,206.679,0,6.447,1.041,1.379,1.951,2.948,0.081
7628,1903,49,325.995,225.482,0,3.969,0.934,1.171,1.56,2.221,0.044
7686,1921,49,48.246,469.698,0,5.179,0.999,1.298,1.805,2.686,0.084
7734,1935,49,354.297,134.786,0,6.337,1.071,1.467,2.165,3.425,0.075
7848,1967,49,302.9,59.509,0,4.097,0.975,1.249,1.709,2.504,0.037
7886,1979,49,386.388,178.682,0,4.42,0.965,1.236,1.691,2.481,0.03
7918,1988,49,132.192,329.373,0,4.649,0.976,1.28,1.807,2.75,0.049
7923,1989,49,312.667,309.401,0,5.358,1.114,1.566,2.366,3.82,0.025
7938,1993,49,431.535,356.22,0,5.98,1.015,1.332,1.872,2.819,0.047
8006,2013,49,25.505,176.568,0,6.697,1.1,1.521,2.259,3.59,0.119
8033,2022,49,332.414,308.28,0,4.485,0.946,1.198,1.62,2.348,0.031
8058,2030,49,355.357,382.516,0,6.753,1.099,1.516,2.243,3.547,0.112
8094,2038,49,354.425,61.549,0,6.463,1.029,1.381,1.994,3.092,0.083
8114,2045,49,302.598,140.699,0,5.161,0.976,1.25,1.71,2.508,0.071
8126,2048,49,397.301,140.445,0,6.781,1.053,1.425,2.073,3.232,0.086
8242,2081,49,261.347,484.121,0,4.784,0.979,1.292,1.84,2.829,0.053
8274,2092,49,54.462,225.496,0,4.123,0.926,1.164,1.569,2.278,0.037
